# lists which metier to distribute catches on based on logbooks. these are specific to ICES areas
# list for WKNSSK
metier	REDSKAP_FAO	MASKEVIDDE	ICESarea	ICESareatype
OTB_CRU_32-69_0_0_all	OTB	40	27.3.a	Div
OTB_CRU_32-69_0_0_all	OTB	42	27.3.a	Div
OTB_CRU_32-69_0_0_all	OTB	45	27.3.a	Div
OTB_CRU_32-69_0_0_all	OTB	50	27.3.a	Div
OTB_CRU_32-69_0_0_all	OTB	60	27.3.a	Div
OTB_CRU_32-69_0_0_all	TBS	36	27.3.a	Div
OTB_CRU_32-69_0_0_all	TBS	37	27.3.a	Div
OTB_CRU_32-69_0_0_all	TBS	38	27.3.a	Div
OTB_CRU_32-69_0_0_all	TBN	38	27.3.a	Div
OTB_CRU_32-69_0_0_all	TBS	40	27.3.a	Div
OTB_CRU_32-69_0_0_all	TBS	42	27.3.a	Div
OTB_CRU_32-69_0_0_all	TBS	46	27.3.a	Div
OTB_CRU_32-69_0_0_all	TBS	50	27.3.a	Div
OTB_CRU_32-69_0_0_all	TBS	60	27.3.a	Div
OTB_CRU_90-119_0_0_all	TBN	90	27.3.a	Div
OTB_CRU_90-119_0_0_all	OTB	90	27.3.a	Div
OTB_DEF _>=120_0_0_all	OTB	120	27.3.a	Div
OTB_DEF _>=120_0_0_all	OTB	125	27.3.a	Div
OTB_DEF _>=120_0_0_all	TB	120	27.3.a	Div
OTB_DEF _>=120_0_0_all	TB	125	27.3.a	Div
OTB_DEF _>=120_0_0_all	OTB	130	27.3.a	Div
OTB_DEF _>=120_0_0_all	OTB	135	27.3.a	Div
GNS_DEF_all_0_0_all	GEN	63	27.3.a	Div
GNS_DEF_all_0_0_all	GEN	66	27.3.a	Div
GNS_DEF_all_0_0_all	GEN	74	27.3.a	Div
GNS_DEF_all_0_0_all	GEN	76	27.3.a	Div
GNS_DEF_all_0_0_all	GEN	90	27.3.a	Div
GNS_DEF_all_0_0_all	GEN	140	27.3.a	Div
GNS_DEF_all_0_0_all	GEN	180	27.3.a	Div
SDN_DEF_>=120_0_0_all	SSC	125	27.3.a	Div
MIS_MIS_0_0_0_HC	SV	0	27.3.a	Div
MIS_MIS_0_0_0_HC	TBS	4	27.3.a	Div
MIS_MIS_0_0_0_HC	TBS	5	27.3.a	Div
#
LLS_FIF_0_0_0_all	LLS	NON	27.6.a	Div
LLS_FIF_0_0_0_all	LL	NON	27.6.a	Div
#
LLS_FIF_0_0_0_all	LLS	NON	27.6.b	Div
LLS_FIF_0_0_0_all	LL	NON	27.6.b	Div
